# Number of electrons: 6, number of orbitals: 6
# Variational ground state energy: -4.54631
# Size of the original electron space: 400
# Size of the response space: 300
# Green's function matrix element: G_13
# Using eta: 0.01
#
#     w                            G
  1.000e+00       (  3.75640828e-01,  4.30146895e-03 )  
  1.010e+00       (  3.79999362e-01,  4.42005745e-03 )  
  1.020e+00       (  3.84479094e-01,  4.54417229e-03 )  
  1.030e+00       (  3.89085735e-01,  4.67418188e-03 )  
  1.040e+00       (  3.93825358e-01,  4.81048657e-03 )  
  1.050e+00       (  3.98704463e-01,  4.95352220e-03 )  
  1.060e+00       (  4.03729992e-01,  5.10376390e-03 )  
  1.070e+00       (  4.08909407e-01,  5.26173059e-03 )  
  1.080e+00       (  4.14250686e-01,  5.42798982e-03 )  
  1.090e+00       (  4.19762410e-01,  5.60316346e-03 )  
  1.100e+00       (  4.25453805e-01,  5.78793414e-03 )  
  1.110e+00       (  4.31334814e-01,  5.98305255e-03 )  
  1.120e+00       (  4.37416171e-01,  6.18934590e-03 )  
  1.130e+00       (  4.43709467e-01,  6.40772740e-03 )  
  1.140e+00       (  4.50227250e-01,  6.63920746e-03 )  
  1.150e+00       (  4.56983125e-01,  6.88490638e-03 )  
  1.160e+00       (  4.63991889e-01,  7.14606921e-03 )  
  1.170e+00       (  4.71269630e-01,  7.42408281e-03 )  
  1.180e+00       (  4.78833898e-01,  7.72049588e-03 )  
  1.190e+00       (  4.86703884e-01,  8.03704234e-03 )  
  1.200e+00       (  4.94900596e-01,  8.37566869e-03 )  
  1.210e+00       (  5.03447097e-01,  8.73856621e-03 )  
  1.220e+00       (  5.12368774e-01,  9.12820918e-03 )  
  1.230e+00       (  5.21693622e-01,  9.54740000e-03 )  
  1.240e+00       (  5.31452611e-01,  9.99932318e-03 )  
  1.250e+00       (  5.41680087e-01,  1.04876098e-02 )  
  1.260e+00       (  5.52414254e-01,  1.10164153e-02 )  
  1.270e+00       (  5.63697737e-01,  1.15905133e-02 )  
  1.280e+00       (  5.75578249e-01,  1.22154095e-02 )  
  1.290e+00       (  5.88109379e-01,  1.28974816e-02 )  
  1.300e+00       (  6.01351544e-01,  1.36441508e-02 )  
  1.310e+00       (  6.15373094e-01,  1.44640937e-02 )  
  1.320e+00       (  6.30251703e-01,  1.53675073e-02 )  
  1.330e+00       (  6.46076017e-01,  1.63664407e-02 )  
  1.340e+00       (  6.62947660e-01,  1.74752148e-02 )  
  1.350e+00       (  6.80983737e-01,  1.87109569e-02 )  
  1.360e+00       (  7.00319893e-01,  2.00942892e-02 )  
  1.370e+00       (  7.21114166e-01,  2.16502212e-02 )  
  1.380e+00       (  7.43551825e-01,  2.34093205e-02 )  
  1.390e+00       (  7.67851507e-01,  2.54092649e-02 )  
  1.400e+00       (  7.94273116e-01,  2.76969242e-02 )  
  1.410e+00       (  8.23128054e-01,  3.03311895e-02 )  
  1.420e+00       (  8.54792654e-01,  3.33868712e-02 )  
  1.430e+00       (  8.89726033e-01,  3.69601558e-02 )  
  1.440e+00       (  9.28494177e-01,  4.11763722e-02 )  
  1.450e+00       (  9.71802899e-01,  4.62012572e-02 )  
  1.460e+00       (  1.02054374e+00,  5.22576420e-02 )  
  1.470e+00       (  1.07585913e+00,  5.96507505e-02 )  
  1.480e+00       (  1.13923688e+00,  6.88075834e-02 )  
  1.490e+00       (  1.21265038e+00,  8.03400894e-02 )  
  1.500e+00       (  1.29877258e+00,  9.51500273e-02 )  
  1.510e+00       (  1.40131231e+00,  1.14610070e-01 )  
  1.520e+00       (  1.52556196e+00,  1.40891431e-01 )  
  1.530e+00       (  1.67932531e+00,  1.77590010e-01 )  
  1.540e+00       (  1.87456190e+00,  2.31004815e-01 )  
  1.550e+00       (  2.13045081e+00,  3.12968004e-01 )  
  1.560e+00       (  2.47939404e+00,  4.47775105e-01 )  
  1.570e+00       (  2.97915084e+00,  6.91481346e-01 )  
  1.580e+00       (  3.73503992e+00,  1.19522619e+00 )  
  1.590e+00       (  4.89241171e+00,  2.45701869e+00 )  
  1.600e+00       (  5.73691478e+00,  6.29413856e+00 )  
  1.610e+00       ( -1.17492194e+00,  1.07129439e+01 )  
  1.620e+00       ( -5.06740457e+00,  4.74666640e+00 )  
  1.630e+00       ( -3.83624334e+00,  1.95976979e+00 )  
  1.640e+00       ( -2.80125183e+00,  1.00956971e+00 )  
  1.650e+00       ( -2.13159782e+00,  6.06522629e-01 )  
  1.660e+00       ( -1.68163634e+00,  4.03062465e-01 )  
  1.670e+00       ( -1.36221994e+00,  2.87187283e-01 )  
  1.680e+00       ( -1.12455301e+00,  2.15276892e-01 )  
  1.690e+00       ( -9.40860197e-01,  1.67723699e-01 )  
  1.700e+00       ( -7.94444846e-01,  1.34711685e-01 )  
  1.710e+00       ( -6.74750768e-01,  1.10902126e-01 )  
  1.720e+00       ( -5.74807279e-01,  9.31950495e-02 )  
  1.730e+00       ( -4.89837773e-01,  7.96927384e-02 )  
  1.740e+00       ( -4.16464078e-01,  6.91817955e-02 )  
  1.750e+00       ( -3.52231220e-01,  6.08576171e-02 )  
  1.760e+00       ( -2.95312475e-01,  5.41699572e-02 )  
  1.770e+00       ( -2.44320063e-01,  4.87324443e-02 )  
  1.780e+00       ( -1.98179995e-01,  4.42675184e-02 )  
  1.790e+00       ( -1.56047162e-01,  4.05718000e-02 )  
  1.800e+00       ( -1.17246347e-01,  3.74936757e-02 )  
  1.810e+00       ( -8.12304013e-02,  3.49184188e-02 )  
  1.820e+00       ( -4.75500114e-02,  3.27580876e-02 )  
  1.830e+00       ( -1.58314649e-02,  3.09445305e-02 )  
  1.840e+00       (  1.42399654e-02,  2.94244562e-02 )  
  1.850e+00       (  4.29326333e-02,  2.81559055e-02 )  
  1.860e+00       (  7.04782327e-02,  2.71056919e-02 )  
  1.870e+00       (  9.70793909e-02,  2.62475241e-02 )  
  1.880e+00       (  1.22915697e-01,  2.55606173e-02 )  
